SL No,Donor Name,Location Name,Latitude ,Longitude,Google location,No of Percolation well Constructed,Year of Completion,Zone,Ward Number,Location by Parks/Campuses
226,Mphasis,CAR North Campus,13.07570069,77.63439781,https://maps.app.goo.gl/ZJnZn76k25SQCEJm6,199,Mar-25,Yelahanka Zone,,Police Campus
227,Mphasis,KSRP 1st Battalion,12.96974719,77.61680292,https://maps.app.goo.gl/JRxQJW4B6BoSBVPm9,70,Mar-25,East Zone,,Police Campus
228,Mphasis,KSRP 9th Battalion,12.8928162,77.67043028,https://maps.app.goo.gl/54K9h2ZW4MrzDxJ2A,51,Mar-25,Bommanahalli Zone,,Police Campus
229,Mphasis,Doordarshan Kendra,13.009219,77.59188381,https://maps.app.goo.gl/rx7sHYSuhi1Vsb4H8,5,Mar-25,East Zone,,Others
230,Mphasis,Park opposite to RR Nagar Zonal office,12.92853515,77.51645808,https://maps.app.goo.gl/RJxE1CKS5HhYsbHZ9,5,Mar-25,RR Nagar Zone,,BBMP Park
231,Mphasis,"Sindhoor Kalyana Mantapa opp Park, Part -1",12.90704474,77.57608312,https://maps.app.goo.gl/Lkg4r29NveXLDGVj9,3,Mar-25,South Zone,,BBMP Park
232,Mphasis,"Sindhoor Kalyana Mantapa opp Park, Part -2",12.90727712,77.57721639,https://maps.app.goo.gl/B4cT3mYLXFXeoqVT9,3,Mar-25,South Zone,,BBMP Park
233,Mphasis,JP nagar 1st stage Park (keb line),12.90747816,77.57924512,https://maps.app.goo.gl/sLoZzYmTJuKmT1ds8,3,Mar-25,South Zone,,BBMP Park
234,Mphasis,"Badrinath Park (JP nagar 1st phase, 29th cross park)",12.90801827,77.5835244,https://maps.app.goo.gl/F46eHqhnUjvAfDi36,4,Mar-25,South Zone,,BBMP Park
235,Mphasis,"Ward Office Backside Park(JP Nagar, 2nd Stage)",12.90859238,77.58693659,https://maps.app.goo.gl/wauQc9usY5wKS9aR6,2,Mar-25,South Zone,,BBMP Park
236,Mphasis,Dhanvantari Park,12.90934385,77.58802793,https://maps.app.goo.gl/LmaGp6x4QvBwmKjQ8,5,Mar-25,South Zone,,BBMP Park
237,Mphasis,Pattabhiramnagar kshemabhivruddi Sangha Park (JP nagar 4th block),12.9210244,77.58963438,https://maps.app.goo.gl/Fis1KrfyD8VX5kmm8,5,Mar-25,South Zone,,BBMP Park
238,Mphasis,Jayanagar 4th T Block (Shakthi ganapati Temple Opp) Park,12.9252152,77.59127524,https://maps.app.goo.gl/niQ8yebeP2QE5oGp9,6,Mar-25,South Zone,,BBMP Park
239,Mphasis,MLA Office Behind Park,12.92497836,77.59026377,https://maps.app.goo.gl/bqn48Pqiamdp7QCT7,6,Mar-25,South Zone,,BBMP Park
240,Mphasis,Vishranthi Vana ( Dr. Vishnuvrdhan Park),12.92525017,77.59502636,https://maps.app.goo.gl/4jYunvWyBBJqXhrC6,4,Mar-25,South Zone,,BBMP Park
241,Mphasis,"Jayanagar 4th T Block, 28th Main Park(Bangalore one office)",12.92517698,77.59576665,https://maps.app.goo.gl/bRGAiRfBZp4L7KnX9,2,Mar-25,South Zone,,BBMP Park
242,Mphasis,"Laxman Rao Boulevard ""M"" Part Park",12.91853094,77.58066809,https://maps.app.goo.gl/22AnTrPGaEq36mKE8,5,Mar-25,South Zone,,BBMP Park
243,Mphasis,"Laxman Rao Boulevard ""L"" Part Park",12.9186047,77.58071986,https://maps.app.goo.gl/t3ewR9AXHHepejDUA,2,Mar-25,South Zone,,BBMP Park
244,Mphasis,All India Radio,12.98266338,77.59283713,https://maps.app.goo.gl/khSymPA294kAnwnYA,27,Mar-25,East Zone,,Others
245,Mphasis,VIMS Qtrs,12.99447085,77.54128023,https://maps.app.goo.gl/pZ9nM3uvJvcFBtiu8,12,Mar-25,East Zone,,Others
246,Deloitte India,Netaji Subhash Chandra Bose park and playground,12.99154244,77.54302804,https://maps.app.goo.gl/t9uUGQNyRhPm99aq5,9,Mar-25,West Zone,,BBMP Park
247,Deloitte India,Sir. M vishweshwaraiah Park University layout,12.97513245,77.59691433,https://maps.app.goo.gl/P8VzU62qw97yLVxB9,2,Mar-25,West Zone,,BBMP Park
248,Deloitte India,Gayathri housing society Park(Siddappaji),12.995783,77.54375547,https://maps.app.goo.gl/Ju2s2BjBBH7y92R86,2,Mar-25,West Zone,,BBMP Park
249,Deloitte India,LIC Colony Park (Akkamahadevi park),12.9961785,77.54299072,https://maps.app.goo.gl/9ZSEtbMoXj91Rqnn6,2,Mar-25,West Zone,,BBMP Park
250,Deloitte India,"Kalyana Venkateshwara park 2nd and 3rd cross, 14th main road",12.99800458,77.54174617,https://maps.app.goo.gl/2ByKnx7nUDU4EgSz8,3,Mar-25,West Zone,,BBMP Park
251,Deloitte India,Kirloskar Colony Park,12.99672337,77.53743303,https://maps.app.goo.gl/RW2Pp7NZuEv7KmBE7,2,Mar-25,West Zone,,BBMP Park
252,Deloitte India,Shivanagar Park,12.99276437,77.55014287,https://maps.app.goo.gl/VB3thH3csrFD9Lpo8,7,Mar-25,West Zone,,BBMP Park
253,Deloitte India,Dhobhi Ghat Park,12.98705212,77.55051776,https://maps.app.goo.gl/cGgra6yeAvh1oG5w8,1,Mar-25,West Zone,,BBMP Park
254,Deloitte India,S B I Colony Park,12.99366376,77.53643641,https://maps.app.goo.gl/5ZP82LxSrLbLPyoj7,3,Mar-25,West Zone,,BBMP Park
255,Deloitte India,Chinnaradhama Park,12.99146472,77.53475676,https://maps.app.goo.gl/WiJ9o5JS8FNAPoku9,2,Mar-25,West Zone,,BBMP Park
256,Deloitte India,Kempegowda North Tower Park,13.01245792,77.58291024,https://maps.app.goo.gl/s1vWkcKJuN2hQp17A,13,Mar-25,West Zone,,BBMP Park
257,Deloitte India,P B Srinivas Park,13.00595714,77.58217884,https://maps.app.goo.gl/xVMoyp95Uhr8H4Tv9,6,Mar-25,West Zone,,BBMP Park
258,Deloitte India,Virendra Patel Park,13.00680733,77.58214732,https://maps.app.goo.gl/fZx5LyE6sXB7q8kn9,4,Mar-25,West Zone,,BBMP Park
259,Deloitte India,Vaiyalikaval Ground Park,13.00503761,77.57972143,https://maps.app.goo.gl/DGftxSanfgtqiRmE7,4,Mar-25,West Zone,,BBMP Park
260,Deloitte India,Indira Gandhi Musical Fountain park,12.98552489,77.59194139,https://maps.app.goo.gl/rpmU5upozJpkKS177,12,Mar-25,East Zone,,BBMP Park
261,Deloitte India,Gayathri Devi Park,12.997617,77.55653639,https://maps.app.goo.gl/6fLMvWKZukJfSENK8,8,Mar-25,West Zone,,BBMP Park
262,Deloitte India,Navarang Park,12.99733201,77.55264558,https://maps.app.goo.gl/2tC7HwuTLibfp6ze9,3,Mar-25,West Zone,,BBMP Park
263,Deloitte India,Lalithamba Ganapathi Park,12.98604331,77.55899704,https://maps.app.goo.gl/EqU3PytpwrVUezTSA,3,Mar-25,West Zone,,BBMP Park
264,Deloitte India,Park infront of Madhu Hotel(WOC Road),12.98318867,77.54953675,https://maps.app.goo.gl/nB9CoXstpyqABLuD6,2,Mar-25,West Zone,,BBMP Park
265,Deloitte India,Nadaprabhu Kempegowda Stadium,13.00853299,77.55837184,https://maps.app.goo.gl/n6Y7o6fhYfzjj8xJ7,11,Mar-25,West Zone,,BBMP Park
266,Deloitte India,Sangolli Rayanna Park,13.00732042,77.55783005,https://maps.app.goo.gl/HZF9g3iJBJxSAoz56,9,Mar-25,West Zone,,BBMP Park
267,Deloitte India,Shankara Charya Park,13.00195766,77.5631968,https://maps.app.goo.gl/e8wLiLSqhnsiynzC8,2,Mar-25,West Zone,,BBMP Park
268,Deloitte India,16th Cross Park (Opp to Cricket House),13.00691988,77.56297866,https://maps.app.goo.gl/2YrX4rcHE6DSuPgj9,2,Mar-25,West Zone,,BBMP Park
269,Deloitte India,Gayathri Devi Park ( Malleshwaram),13.00608314,77.57569101,https://maps.app.goo.gl/kzr99CdR9ajrAt6s6,3,Mar-25,West Zone,,BBMP Park
270,Deloitte India,Atal ji Park,13.02384465,77.56103828,https://maps.app.goo.gl/UrWXs5WqzSToxBG69,5,Mar-25,West Zone,,BBMP Park
271,Deloitte India,Bhashyam Park,12.99227678,77.57191469,https://maps.app.goo.gl/VvkrjRNywcoJ3s8j7,4,Mar-25,West Zone,,BBMP Park
272,Deloitte India,Arundati Park,12.98833411,77.56776407,https://maps.app.goo.gl/TUrbjs6Tu7ZEUvMx9,2,Mar-25,West Zone,,BBMP Park
273,Deloitte India,Chikkalalbagh Park (Lokmanya Tilak Park),12.97387609,77.57278911,https://maps.app.goo.gl/BTUQGgmPjTXstGWj7,4,Mar-25,West Zone,,BBMP Park
274,Deloitte India,M S Ramaiah Park,13.03220545,77.5682802,https://maps.app.goo.gl/V9hWCQWjSFznvDaV8,5,Mar-25,West Zone,,BBMP Park
275,Deloitte India,Elephant Park,13.00008863,77.57031128,https://maps.app.goo.gl/WW2WvTMEEBfXEKgRA,4,Mar-25,West Zone,,BBMP Park
276,Deloitte India,New Market Park,13.00255689,77.57022343,https://maps.app.goo.gl/PhfsZ3CMDMLmZBZR9,3,Mar-25,West Zone,,BBMP Park
277,Deloitte India,Malleshwaram Valmiki Park,13.00625472,77.57017428,https://maps.app.goo.gl/HpTU1U3AyvcNr1RT8,3,Mar-25,West Zone,,BBMP Park
278,Deloitte India,Ramdev Park,13.00248032,77.576531,https://maps.app.goo.gl/GXcDoMNufZvSxPAo9,3,Mar-25,West Zone,,BBMP Park
279,Deloitte India,Gokak chaluvali Park,13.00865549,77.57135891,https://maps.app.goo.gl/a79AUkZ1kfA6P9Hq8,3,Mar-25,West Zone,,BBMP Park
280,Deloitte India,Swimming pool Extension Park,12.99922481,77.57438593,https://maps.app.goo.gl/m5RBPj1cP21ht9FF7,2,Mar-25,West Zone,,BBMP Park
281,Deloitte India,Guru Basavanna Park,13.02889641,77.57095665,https://maps.app.goo.gl/drSMkYpPS4WUTHf58,3,Mar-25,West Zone,,BBMP Park
282,Deloitte India,BBMP Gym Park,13.00084503,77.57619781,https://maps.app.goo.gl/b7vHoVDawHoFHYES7,4,Mar-25,West Zone,,BBMP Park
283,Deloitte India,W.H Gopal Park Part 1,12.99500778,77.5707654,https://maps.app.goo.gl/uMXb7mpUd9LfmwfG6,2,Mar-25,West Zone,,BBMP Park
284,Deloitte India,W.H Gopal Park Part 2,12.99425078,77.57079945,https://maps.app.goo.gl/Uz3rBcj3McnGgj8RA,1,Mar-25,West Zone,,BBMP Park
285,Deloitte India,Nehru Park,12.98816744,77.57527653,https://maps.app.goo.gl/MjGuEvyWd6xVFwbj7,4,Mar-25,West Zone,,BBMP Park
286,Deloitte India,Triangular Park,12.9870639,77.57630178,https://maps.app.goo.gl/isT7TSRr9sE7mcAR6,1,Mar-25,West Zone,,BBMP Park
287,Deloitte India,Bharatharatna Sir M Vishveshwaraiah Park Rajajinagar,12.99813584,77.54881476,https://maps.app.goo.gl/Jb6U2qd1H8KW9QBa7,3,Mar-25,West Zone,,BBMP Park
288,Deloitte India,Mahalakshmi Layout Pipeline Park 1,13.00055708,77.53420243,https://maps.app.goo.gl/Q2QBFFzyWDyJEZoj6,11,Mar-25,West Zone,,BBMP Park
289,Deloitte India,Mahalakshmi Layout Pipeline Park 2,13.0002245,77.53288607,https://maps.app.goo.gl/d3xuJ9hLHAmbxbMF6,6,Mar-25,West Zone,,BBMP Park
290,Deloitte India,Siddharuda Park Mahalakshmi Layout,12.99924014,77.52868811,https://maps.app.goo.gl/pxCmAze2RFRZ32q66,12,Mar-25,West Zone,,BBMP Park
291,Deloitte India,Mahalakshmi Layout Bhovi palya Park 1,13.00774608,77.54461998,https://maps.app.goo.gl/Ko4i4Ezviw2b1BXq9,4,Mar-25,West Zone,,BBMP Park
292,Deloitte India,Mahalakshmi layout Bhovi palya Park 2,13.00696179,77.54502973,https://maps.app.goo.gl/JABEhnsJwkkodFEUA,4,Mar-25,West Zone,,BBMP Park
293,Deloitte India,Usha Park,13.00703025,77.54389435,"https://www.google.com/maps/place/Usha+Park/@13.0070116,77.5433124,193m/data=!3m1!1e3!4m6!3m5!1s0x3bae3d9e62121ff1:0xddd1d80f6d2156c5!8m2!3d13.0069853!4d77.543883!16s%2Fg%2F11cn32wsfg?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",4,Mar-25,West Zone,,BBMP Park
294,NTT Data,Epidemic Hospital,12.98600507,77.64426271,https://maps.app.goo.gl/dutZrrgh7ateZnrh6,26,Mar-25,East Zone,,Others
295,NTT Data,BDA Park,12.97939696,77.63589305,https://maps.app.goo.gl/hUz8mQsJpmjKUfnq9,6,Mar-25,East Zone,,BBMP Park
296,NTT Data,ABCD Park,12.97915357,77.63338873,https://maps.app.goo.gl/xCyxktup9NSeLRMS7,15,Mar-25,East Zone,,BBMP Park
297,NTT Data,Joggers Park,12.97972354,77.63365915,https://maps.app.goo.gl/NSPC6TeS6ekBErSL6,18,Mar-25,East Zone,,BBMP Park
298,NTT Data,Paramahamsa Yogananda Park,12.96675497,77.6372333,https://maps.app.goo.gl/nWcpyhwg7miqpJnS8,5,Mar-25,East Zone,,BBMP Park
299,Morgan Stanley,HMT Children park,13.03335702,77.49988538,https://maps.app.goo.gl/gsnDS2dQpywaMFu97,15,Mar-25,Dasarahalli,,BBMP Park
300,Morgan Stanley,Geleyara Balaga - play ground,13.07006773,77.50912287,https://maps.app.goo.gl/ThCFnXQrHbafSd1AA,11,Mar-25,Dasarahalli,,BBMP Park
301,Morgan Stanley,Pipe Line park,13.05997611,77.50763255,https://maps.app.goo.gl/sNXqVbV57RQ7y3e56,5,Mar-25,Dasarahalli,,BBMP Park
302,Morgan Stanley,Chokkasandra Park,13.04116069,77.51455628,https://maps.app.goo.gl/3aAS2nS43vq4gWR99,14,Mar-25,Dasarahalli,,BBMP Park
303,Morgan Stanley,Nela Maheshwari Park,13.04913053,77.51089106,https://maps.app.goo.gl/9JFCb9YuLgUmo7Bv9,5,Mar-25,Dasarahalli,,BBMP Park
304,Morgan Stanley,Governement School T.Dasarahalli,13.04528338,77.51907601,https://maps.app.goo.gl/XYhLTLt8iLj2ngXq8,10,Mar-25,Dasarahalli,,Schools and Colleges
305,Morgan Stanley,Horticulture Park near GKVK,13.09289464,77.56017887,https://maps.app.goo.gl/tsLegog7do9yJBvJ9,16,Mar-25,Yelahanka,,BBMP Park
306,Morgan Stanley,Mini Forest Park,13.09566214,77.58616255,https://maps.app.goo.gl/JPsqAC4RCXPegb1a8,26,Mar-25,Yelahanka,,BBMP Park
307,Morgan Stanley,RTO Office Park,13.09921763,77.58268316,https://maps.app.goo.gl/a9jr1B1Yipyww2Jq6,5,Mar-25,Yelahanka,,BBMP Park
308,Informatica,J k krishna Murthy Park,13.04657043,77.54225953,https://maps.app.goo.gl/hXiCQi6K8qnUU5CK9,9,Mar-25,RR Nagar Zone,,BBMP Park
309,Informatica,Nadaprabhu Kempegowdara Sose Lakshmidevi Park,13.0293607,77.52381558,https://maps.app.goo.gl/ohHsiZVNzqos3Agi8,6,Mar-25,RR Nagar Zone,,BBMP Park
310,Informatica,Ex.Chairman A Muniswamappa Park,13.02909976,77.53524766,https://maps.app.goo.gl/2JmfBt6tTBkyx5g36,7,Mar-25,RR Nagar Zone,,BBMP Park
311,Informatica,Swamy Vivekananda Park,12.92074934,77.51905981,https://maps.app.goo.gl/N9iu6jJQErfGunup9,9,Mar-25,RR Nagar Zone,,BBMP Park
312,Informatica,Unani Hospital,12.9880415,77.51327467,https://maps.app.goo.gl/tGajEtEwX3sYiFK28,30,Mar-25,RR Nagar Zone,,Others
313,Informatica,Govt Press Layout 2nd Park,12.94819061,77.49056256,https://maps.app.goo.gl/6E27ZFzyydPF3W6V7,10,Mar-25,RR Nagar Zone,,BBMP Park
314,Informatica,Jnanaganapthi temple Park,12.94683979,77.49170166,https://maps.app.goo.gl/BEC7w81dbnQb6Tdq7,8,Mar-25,RR Nagar Zone,,BBMP Park
315,Informatica,Press Layout 11th Main Park,12.94624074,77.48954346,https://maps.app.goo.gl/UpXyYevR9Y3a4JL67,0,Mar-25,RR Nagar Zone,,BBMP Park
316,Informatica,Govt Press Layout 1st Park,12.94968146,77.4905704,https://maps.app.goo.gl/EkSdHNYeR1mwP61R6,5,Mar-25,RR Nagar Zone,,BBMP Park
317,Informatica,Puneethrajkumar Udyanavana,12.94596166,77.49028539,https://maps.app.goo.gl/bLqFy7tmy6NCWuxT9,0,Mar-25,RR Nagar Zone,,BBMP Park
318,Informatica,Basaveshwara Park,12.94074345,77.49125942,https://maps.app.goo.gl/pWD5cDvJKdDCcm378,5,Mar-25,RR Nagar Zone,,BBMP Park
319,Informatica,RR Layout 1st main park,12.93999671,77.49389626,https://maps.app.goo.gl/X4WfTNxKpP1DFkSPA,3,Mar-25,RR Nagar Zone,,BBMP Park
320,Informatica,Jnanabharathi 4th Block park,12.93702802,77.48693302,https://maps.app.goo.gl/fVaZLG6pcyGh3reB8,4,Mar-25,RR Nagar Zone,,BBMP Park
321,Informatica,Annapoorneshwari Nagar Police Station,12.96524052,77.51157434,https://maps.app.goo.gl/MQFT6tnDZL2ux4XY6,5,Mar-25,RR Nagar Zone,,Police Campus
322,Informatica,Loka Seva Park,12.94537469,77.48644849,https://maps.app.goo.gl/fr4AcvtbYr22CgWi9,4,Mar-25,RR Nagar Zone,,BBMP Park
323,Informatica,Sri Chowdeshwari temle park,12.94301791,77.48661405,https://maps.app.goo.gl/4ecehWTcdnW7yAou7,2,Mar-25,RR Nagar Zone,,BBMP Park
324,Morgan Stanley,Chamundeshwari Park/ Budda Park,12.9803854,77.51367441,https://maps.app.goo.gl/v7JPJoyWD8itetoB6,5,Mar-25,RR Nagar Zone,,BBMP Park
325,Morgan Stanley,Prasanna anjaneya park,12.97756493,77.51295987,https://maps.app.goo.gl/mbVjtehbwR9jjMNe8,2,Mar-25,RR Nagar Zone,,BBMP Park
326,Morgan Stanley,Ramakrishna hegde park,12.97701215,77.51240363,https://maps.app.goo.gl/dbK2SvMHFhPywsCJ9,6,Mar-25,RR Nagar Zone,,BBMP Park
327,Morgan Stanley,Ravi Gym Park,12.9728657,77.51246783,https://maps.app.goo.gl/toJDA6kxoXp23acUA,4,Mar-25,RR Nagar Zone,,BBMP Park
328,Morgan Stanley,Srigandha Kaval Park,12.97795828,77.50381011,https://maps.app.goo.gl/2YMEVTXuKe82pwRW6,5,Mar-25,RR Nagar Zone,,BBMP Park
329,Morgan Stanley,Dara bendre park,12.96594226,77.50875637,https://maps.app.goo.gl/btUsspCM9bSn1xAZ7,4,Mar-25,RR Nagar Zone,,BBMP Park
330,Morgan Stanley,Rajarajeshwari park,12.96285785,77.51028159,https://maps.app.goo.gl/nnzsuBAUfSfnHn4U8,3,Mar-25,RR Nagar Zone,,BBMP Park
331,Morgan Stanley,Hoysala park,12.9640088,77.50914652,https://maps.app.goo.gl/D9kjoWAyj1STBzBy5,8,Mar-25,RR Nagar Zone,,BBMP Park
332,Morgan Stanley,Aryan school,12.96162808,77.50742113,https://maps.app.goo.gl/Fh48QdXx1N9PSwdT8,1,Mar-25,RR Nagar Zone,,Schools and Colleges
333,Morgan Stanley,Maruthi mandir park,12.96192312,77.51351473,https://maps.app.goo.gl/Nf8BPsjjqDtHqHDv6,4,Mar-25,RR Nagar Zone,,BBMP Park
334,Morgan Stanley,Annapoorneshwari BBMP Park,12.97980058,77.50799474,https://maps.app.goo.gl/wEC39zjzLkYKX9Ft7,6,Mar-25,RR Nagar Zone,,BBMP Park
335,Morgan Stanley,Bharathnagar Public Park,12.98154048,77.48335117,https://maps.app.goo.gl/977jKb1YNxz9JTQDA,6,Mar-25,RR Nagar Zone,,BBMP Park
336,Morgan Stanley,Bharathnagar 2nd Stage Park,12.97947909,77.47605898,https://maps.app.goo.gl/tDyhCg9PkQkRLESGA. ,6,Mar-25,RR Nagar Zone,,BBMP Park
337,Morgan Stanley,Bande maramma park,12.96600632,77.51658162,https://maps.app.goo.gl/4dQn9Xk5CcDeqZhB7,8,Mar-25,RR Nagar Zone,,BBMP Park
338,Morgan Stanley,Holedande Gandhi Udyanavana,12.9673738,77.51781172,https://maps.app.goo.gl/7KMKVnoJzBuefhX47,4,Mar-25,RR Nagar Zone,,BBMP Park
339,Morgan Stanley,Mahatma Gandhi park bda park,12.9688795,77.5145144,https://maps.app.goo.gl/QC5Q94i2ZA2UQYBZ6,5,Mar-25,RR Nagar Zone,,BBMP Park
340,Morgan Stanley,Vinayaka nursery park,12.97061224,77.50954888,https://maps.app.goo.gl/UisvmE2E49crgH3e9,8,Mar-25,RR Nagar Zone,,BBMP Park
341,Morgan Stanley,vishveshwaraiah park,12.95224309,77.47962632,https://maps.app.goo.gl/mzrT8UozqykF3RaH6,6,Mar-25,RR Nagar Zone,,BBMP Park
342,Morgan Stanley,Railway Layout Park,12.9588592,77.48579227,https://maps.app.goo.gl/niisHJnSNBBu69AU9,19,Mar-25,RR Nagar Zone,,BBMP Park
343,Morgan Stanley,Upkar layout park,12.95948517,77.48164126,https://maps.app.goo.gl/NTef5YXiBMrJZfk48,10,Mar-25,RR Nagar Zone,,BBMP Park
344,Morgan Stanley,Syndicate Bank 2nd Main Park,12.99686987,77.4862424,https://maps.app.goo.gl/YwwA7vqUyiEGxGom6,12,Mar-25,RR Nagar Zone,,BBMP Park
345,Morgan Stanley,Abhaya Ganapathi Temple Park,12.99641386,77.48802961,https://maps.app.goo.gl/Z38Bipz5fMX3xmuq5,15,Mar-25,RR Nagar Zone,,BBMP Park
346,Morgan Stanley,Bharatha Ratna Sir M Vishveshwaraiah Park,12.99475315,77.48785948,https://maps.app.goo.gl/urGbxNC8prQCZDkG8,18,Mar-25,RR Nagar Zone,,BBMP Park
347,Morgan Stanley,Tunganagara Cricket Gorund & Park,12.99527561,77.48584665,https://maps.app.goo.gl/tHCWKE2d3oUykKWu8,15,Mar-25,RR Nagar Zone,,BBMP Park
348,Morgan Stanley,BCMC Layout Park,12.88059816,77.5489934,https://maps.app.goo.gl/2z9GrRMBrLKBikhu7,11,Mar-25,RR Nagar Zone,,BBMP Park
349,Morgan Stanley,BCMC Layout Park 2,12.87660393,77.54952431,https://maps.app.goo.gl/qRctQ9BWt4Ph448o6,7,Mar-25,RR Nagar Zone,,BBMP Park
350,Morgan Stanley,BCMC Layout Park 3,12.8757448,77.54856458,https://maps.app.goo.gl/KZmZmvF2zPkvPk9v7,2,Mar-25,RR Nagar Zone,,BBMP Park
351,Morgan Stanley,SHVNM Govt College ( Malleshwaram),13.00282979,77.56766673,https://maps.app.goo.gl/r7XLqi4facc3EsZy8,8,Mar-25,West Zone,,Schools and Colleges
352,Morgan Stanley,Swimming pool Extension Park,12.99922926,77.57437502,https://maps.app.goo.gl/m5RBPj1cP21ht9FF7,2,Mar-25,West Zone,,BBMP Park
353,Happiest Minds,CV Raman Hospital Indranagar,12.9827738,77.64469978,https://maps.app.goo.gl/zZKJumiUmYyyKoAx8,30,Mar-25,East Zone,,Others
354,Happiest Minds,DRDO-KV School,12.98613644,77.66408546,https://maps.app.goo.gl/rBioDRzF1h5hPMGh7,16,Mar-25,East Zone,,Defence Campus
355,Happiest Minds,DRDO-Phase-1 Quarters,12.98777289,77.66573167,https://maps.app.goo.gl/DgjuKy89hMsgcqBn9,6,Mar-25,East Zone,,Defence Campus
356,Happiest Minds,DRDO-Chalukya,12.98637998,77.67030548,https://maps.app.goo.gl/shvGd4SnKPgPmUMn8,10,Mar-25,East Zone,,Defence Campus
357,Happiest Minds,DRDO-Phase-2 Quarters,12.98613258,77.68200387,https://maps.app.goo.gl/n63EDkJSeSEV3zmD6,3,Mar-25,East Zone,,Defence Campus
358,Happiest Minds,BDA Head Office,12.99671069,77.5833498,https://maps.app.goo.gl/eai54ptW4iFsfqdLA,6,Mar-25,East Zone,,BDA Parks
359,Fortrea CDPL,Wood Park,12.9798903,77.63588543,https://maps.app.goo.gl/Ne78xdYF6obW9rwE7,24,Mar-25,East Zone,,BBMP Park
360,,BDA Park,12.9794048,77.63593597,https://maps.app.goo.gl/hUz8mQsJpmjKUfnq9,4,Mar-25,East Zone,,BBMP Park
361,Texas Instruments,Doopanahalli BDA Park,12.96873518,77.63697158,https://maps.app.goo.gl/NBxTMs8vNzE5UZJPA,9,Mar-25,East Zone,,BBMP Park
362,Texas Instruments,Double road Park,12.98087551,77.63758291,https://maps.app.goo.gl/ftof4Z7Wb6F2A3hU9,8,Mar-25,East Zone,,BBMP Park
363,Texas Instruments,DRDO Next to KV school,12.9889593,77.66521236,https://maps.app.goo.gl/xFYgH4WZDbnhqZaz6,60,Mar-25,East Zone,,Defence Campus
364,Texas Instruments,Paramahamsa Yogananda Park,12.96677357,77.63732637,https://maps.app.goo.gl/5AwKBEXMCVntJ99w9,7,Mar-25,East Zone,,BBMP Park
365,Texas Instruments,DRDO Campus (BSO R & D (East)-1,12.97783965,77.65531994,https://maps.app.goo.gl/vUB6Qf9ziyJScCCe7,4,Mar-25,East Zone,,Defence Campus
366,Texas Instruments,DRDO Campus (BSO R & D (East)-2,12.97805881,77.6551111,https://maps.app.goo.gl/BWKarzmBd6eKBs4h8,3,Mar-25,East Zone,,Defence Campus
367,Texas Instruments,Bhuvanagiri Park,13.01299153,77.66169644,https://maps.app.goo.gl/jUYhYVCaJV12sVfJA,6,Mar-25,East Zone,,BBMP Park
368,Texas Instruments,"PHC,Maratahalli",12.96299471,77.69796827,https://maps.app.goo.gl/FHAkLqwRCyfcvH517,20,Mar-25,East Zone,,Others
369,Happiest Minds,Regional Horticultural Research and,13.08942156,77.56231096,https://maps.app.goo.gl/KEzfq3tmY2rE8DKJ6,60,Mar-25,Yelahanka Zone,,Others
370,Happiest Minds,BSF Campus-CEDCO,13.12863526,77.63173627,https://maps.app.goo.gl/AREJgv2G1XA9zANx6,80,Mar-25,Yelahanka Zone,,Defence Campus
371,Happiest Minds,BSF Campus-STC,13.13080916,77.603401,https://maps.app.goo.gl/qRbhS2vtoL7SixBe8,65,Mar-25,Yelahanka Zone,,Defence Campus
372,Happiest Minds,"College of Horticulture, UHS Campus",13.09048395,77.56108027,https://maps.app.goo.gl/VngaJaXqugjnauAV6,60,Mar-25,Yelahanka Zone,,Others
373,Visa,PTS Thanisandra,13.07524004,77.62760629,https://maps.app.goo.gl/aLD4sQ5GaTQrMyFa9,8,Mar-25,Yelahanka Zone,,Police Campus
374,Broadcom,"BSF Campus, Yelahanka",13.13128142,77.60161916,"https://www.google.com/maps/place/BSF+Campus,+Yelahanka+Airforce+Base,+Bengaluru,+Karnataka/data=!4m2!3m1!1s0x3bae18ddd2f21293:0x3b40f5798aa2468?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESCjExLjE1NS4xMDEYACDXggMqfiw5NDI0MjUwOCw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyOTgzOSw5NDIzOTEyNyw0NzA4NzExOCw0NzA4NDM5Myw5NDIxMzIwMEICSU4%3D",63,Mar-25,Yelahanka zone,,Defence Campus
375,Broadcom,Commissioner office,12.98480306,77.59364437,,9,Mar-25,East Zone,,Police Campus
376,Broadcom,"CMP Campus, Neelasandra",12.95223169,77.60747655,https://maps.app.goo.gl/KJqtk6VV9KjU9dPd7,191,Mar-25,East Zone,,Defence Campus
